"churn","levels","n","N","churn_perc","varname"
1,"ATLTUN601",2,3,0.666666666666667,"csa"
1,"ATLVAL229",5,10,0.5,"csa"
1,"AWIAPP920",5,25,0.2,"csa"
1,"AWIGRE920",7,28,0.25,"csa"
1,"AWIOSH920",1,8,0.125,"csa"
1,"AWISHE920",1,10,0.1,"csa"
1,"BIRBIR205",39,159,0.245283018867925,"csa"
1,"BOSBOS508",32,135,0.237037037037037,"csa"
1,"BOSBOS617",166,642,0.258566978193146,"csa"
1,"BOSBOS781",71,273,0.26007326007326,"csa"
1,"BOSBOS978",54,241,0.224066390041494,"csa"
1,"BOSFRA508",19,73,0.26027397260274,"csa"
1,"BOSHYA508",3,13,0.230769230769231,"csa"
1,"BOSMAN603",78,266,0.293233082706767,"csa"
1,"BOSNSH603",16,44,0.363636363636364,"csa"
1,"BOSPRO401",44,182,0.241758241758242,"csa"
1,"BOSPTL207",22,65,0.338461538461538,"csa"
1,"BOSWOR508",15,57,0.263157894736842,"csa"
1,"CHIBLO309",10,41,0.24390243902439,"csa"
1,"CHICHA217",9,50,0.18,"csa"
1,"CHICHI312",39,140,0.278571428571429,"csa"
1,"CHICHI773",138,551,0.250453720508167,"csa"
1,"CHICPT219",6,15,0.4,"csa"
1,"CHIDAV319",21,72,0.291666666666667,"csa"
1,"CHIDEC217",3,14,0.214285714285714,"csa"
1,"CHIGRY219",18,92,0.195652173913043,"csa"
1,"CHIJOL815",17,52,0.326923076923077,"csa"
1,"CHILAG630",106,397,0.267002518891688,"csa"
1,"CHILAG708",74,289,0.256055363321799,"csa"
1,"CHIMCH815",1,1,1,"csa"
1,"CHINBK847",150,613,0.244698205546493,"csa"
1,"CHIPEO309",11,79,0.139240506329114,"csa"
1,"CHIRCK815",31,121,0.256198347107438,"csa"
1,"CHIROC309",13,38,0.342105263157895,"csa"
1,"CHISPR217",5,36,0.138888888888889,"csa"
1,"CHIWAT319",1,2,0.5,"csa"
1,"DALATH903",3,8,0.375,"csa"
1,"DALCOM903",1,3,0.333333333333333,"csa"
1,"DALCRS903",1,7,0.142857142857143,"csa"
1,"DALDAL214",483,1976,0.244433198380567,"csa"
1,"DALDEN903",3,10,0.3,"csa"
1,"DALDTN940",18,66,0.272727272727273,"csa"
1,"DALFTW817",239,1002,0.238522954091816,"csa"
1,"DALGVL940",1,3,0.333333333333333,"csa"
1,"DALKAU469",2,5,0.4,"csa"
1,"DALMNW940",1,4,0.25,"csa"
1,"DALSHR903",2,25,0.08,"csa"
1,"DALSLS903",1,6,0.166666666666667,"csa"
1,"DALSTV254",1,11,0.0909090909090909,"csa"
1,"DENBOU303",37,104,0.355769230769231,"csa"
1,"DENCOL719",57,198,0.287878787878788,"csa"
1,"DENDEN303",144,475,0.303157894736842,"csa"
1,"DENDIL970",2,3,0.666666666666667,"csa"
1,"DENFTC970",13,30,0.433333333333333,"csa"
1,"DENGLD303",19,77,0.246753246753247,"csa"
1,"DENGRE970",5,14,0.357142857142857,"csa"
1,"DENVAL970",2,6,0.333333333333333,"csa"
1,"DETADR517",1,4,0.25,"csa"
1,"DETANN734",41,186,0.220430107526882,"csa"
1,"DETBAT616",3,10,0.3,"csa"
1,"DETBNH616",2,7,0.285714285714286,"csa"
1,"DETBWG419",9,17,0.529411764705882,"csa"
1,"DETDET313",81,474,0.170886075949367,"csa"
1,"DETFER248",7,25,0.28,"csa"
1,"DETFLI810",19,87,0.218390804597701,"csa"
1,"DETFRE419",2,5,0.4,"csa"
1,"DETJAC517",5,21,0.238095238095238,"csa"
1,"DETKAL616",14,50,0.28,"csa"
1,"DETLAN517",12,39,0.307692307692308,"csa"
1,"DETMON734",8,41,0.195121951219512,"csa"
1,"DETPON248",101,418,0.241626794258373,"csa"
1,"DETROS810",65,271,0.239852398523985,"csa"
1,"DETSOU248",9,45,0.2,"csa"
1,"DETTOL419",29,163,0.177914110429448,"csa"
1,"DETTRO248",1,19,0.0526315789473684,"csa"
1,"DETWAS419",1,4,0.25,"csa"
1,"DETWYN734",52,164,0.317073170731707,"csa"
1,"FLNAVO863",1,8,0.125,"csa"
1,"FLNBRD941",12,51,0.235294117647059,"csa"
1,"FLNBSH352",1,2,0.5,"csa"
1,"FLNCLR813",61,270,0.225925925925926,"csa"
1,"FLNCOC407",20,102,0.196078431372549,"csa"
1,"FLNCRY352",4,8,0.5,"csa"
1,"FLNDAY904",12,61,0.19672131147541,"csa"
1,"FLNEUS352",1,10,0.1,"csa"
1,"FLNGAN352",36,101,0.356435643564356,"csa"
1,"FLNINV352",3,13,0.230769230769231,"csa"
1,"FLNJAC904",77,274,0.281021897810219,"csa"
1,"FLNKEH352",1,1,1,"csa"
1,"FLNKIS407",18,95,0.189473684210526,"csa"
1,"FLNLAK941",7,34,0.205882352941176,"csa"
1,"FLNLEE352",18,86,0.209302325581395,"csa"
1,"FLNLKC904",1,5,0.2,"csa"
1,"FLNLKP863",1,3,0.333333333333333,"csa"
1,"FLNLKW863",1,4,0.25,"csa"
1,"FLNNPR813",14,40,0.35,"csa"
1,"FLNOCA352",19,84,0.226190476190476,"csa"
1,"FLNOGC904",7,25,0.28,"csa"
1,"FLNORL407",83,339,0.244837758112094,"csa"
1,"FLNPAL904",4,7,0.571428571428571,"csa"
1,"FLNSAG904",7,25,0.28,"csa"
1,"FLNSAN407",10,48,0.208333333333333,"csa"
1,"FLNSAR941",21,102,0.205882352941176,"csa"
1,"FLNSEB863",1,6,0.166666666666667,"csa"
1,"FLNSMY904",4,8,0.5,"csa"
1,"FLNSTK904",5,10,0.5,"csa"
1,"FLNTAL850",34,131,0.259541984732824,"csa"
1,"FLNTAM813",77,276,0.278985507246377,"csa"
1,"FLNWIL352",1,7,0.142857142857143,"csa"
1,"FLNWNH941",6,22,0.272727272727273,"csa"
1,"FLNWNP407",28,119,0.235294117647059,"csa"
1,"FLNZEP813",1,6,0.166666666666667,"csa"
1,"GCWBTR225",5,26,0.192307692307692,"csa"
1,"GCWGUL228",1,5,0.2,"csa"
1,"GCWLAF337",3,16,0.1875,"csa"
1,"HARBRI203",36,119,0.302521008403361,"csa"
1,"HARHAR860",89,394,0.225888324873096,"csa"
1,"HARLON860",12,58,0.206896551724138,"csa"
1,"HARNEW203",50,228,0.219298245614035,"csa"
1,"HARNOR203",70,231,0.303030303030303,"csa"
1,"HARSPR413",17,111,0.153153153153153,"csa"
1,"HARWAT203",23,65,0.353846153846154,"csa"
1,"HOUBMT409",2,10,0.2,"csa"
1,"HOUBRN409",24,92,0.260869565217391,"csa"
1,"HOUCON409",16,55,0.290909090909091,"csa"
1,"HOUFRE409",2,6,0.333333333333333,"csa"
1,"HOUGLV409",12,43,0.27906976744186,"csa"
1,"HOUHOU281",405,1962,0.206422018348624,"csa"
1,"HOUHUN936",6,12,0.5,"csa"
1,"HOULJK409",11,20,0.55,"csa"
1,"HOUSPR832",30,98,0.306122448979592,"csa"
1,"HOUVIC361",2,9,0.222222222222222,"csa"
1,"HWIHON808",94,312,0.301282051282051,"csa"
1,"HWIMAU808",12,31,0.387096774193548,"csa"
1,"INDAND765",3,11,0.272727272727273,"csa"
1,"INDCLO765",1,1,1,"csa"
1,"INDIND317",111,558,0.198924731182796,"csa"
1,"INDLAF765",3,14,0.214285714285714,"csa"
1,"INDMAR765",1,1,1,"csa"
1,"INDMUN765",6,35,0.171428571428571,"csa"
1,"INHBLU419",1,1,1,"csa"
1,"INHCRI419",1,7,0.142857142857143,"csa"
1,"INHFTW219",22,60,0.366666666666667,"csa"
1,"INHSBN219",9,29,0.310344827586207,"csa"
1,"IPMGDR616",11,42,0.261904761904762,"csa"
1,"IPMMID517",1,3,0.333333333333333,"csa"
1,"IPMSAG517",6,21,0.285714285714286,"csa"
1,"KCYCLI660",1,2,0.5,"csa"
1,"KCYELD316",2,8,0.25,"csa"
1,"KCYHUT316",6,19,0.315789473684211,"csa"
1,"KCYKCK913",83,444,0.186936936936937,"csa"
1,"KCYKCM816",96,534,0.179775280898876,"csa"
1,"KCYLAW913",12,44,0.272727272727273,"csa"
1,"KCYLEA913",3,7,0.428571428571429,"csa"
1,"KCYNEW316",1,9,0.111111111111111,"csa"
1,"KCYTOP913",12,61,0.19672131147541,"csa"
1,"KCYWIC316",38,185,0.205405405405405,"csa"
1,"LAUCLM662",3,5,0.6,"csa"
1,"LAUGNW662",1,3,0.333333333333333,"csa"
1,"LAUHAT601",5,6,0.833333333333333,"csa"
1,"LAUJAC601",17,62,0.274193548387097,"csa"
1,"LAUTUP662",2,8,0.25,"csa"
1,"LAXALA562",31,109,0.284403669724771,"csa"
1,"LAXALB626",24,89,0.269662921348315,"csa"
1,"LAXANA714",114,518,0.22007722007722,"csa"
1,"LAXBEV310",36,143,0.251748251748252,"csa"
1,"LAXBUR818",39,158,0.246835443037975,"csa"
1,"LAXCAN661",4,10,0.4,"csa"
1,"LAXCAS661",2,3,0.666666666666667,"csa"
1,"LAXCDG310",67,296,0.226351351351351,"csa"
1,"LAXCOR909",30,90,0.333333333333333,"csa"
1,"LAXCOV626",41,138,0.297101449275362,"csa"
1,"LAXCUL310",22,79,0.278481012658228,"csa"
1,"LAXDOW562",46,234,0.196581196581197,"csa"
1,"LAXIND760",1,10,0.1,"csa"
1,"LAXING310",9,36,0.25,"csa"
1,"LAXIRV949",38,171,0.222222222222222,"csa"
1,"LAXLAG949",25,118,0.211864406779661,"csa"
1,"LAXLAN661",4,13,0.307692307692308,"csa"
1,"LAXLAX213",50,194,0.257731958762887,"csa"
1,"LAXLAX323",30,141,0.212765957446809,"csa"
1,"LAXMON323",39,204,0.191176470588235,"csa"
1,"LAXOAK805",15,53,0.283018867924528,"csa"
1,"LAXONT909",51,229,0.222707423580786,"csa"
1,"LAXOXN805",4,10,0.4,"csa"
1,"LAXPAS626",21,96,0.21875,"csa"
1,"LAXPER909",2,11,0.181818181818182,"csa"
1,"LAXPSG760",8,34,0.235294117647059,"csa"
1,"LAXRIV909",38,218,0.174311926605505,"csa"
1,"LAXSAN714",79,307,0.257328990228013,"csa"
1,"LAXSBN909",30,103,0.29126213592233,"csa"
1,"LAXSFN818",26,73,0.356164383561644,"csa"
1,"LAXSIM805",1,7,0.142857142857143,"csa"
1,"LAXSJC949",2,10,0.2,"csa"
1,"LAXSMN310",27,132,0.204545454545455,"csa"
1,"LAXSNP310",3,11,0.272727272727273,"csa"
1,"LAXVEN805",3,3,1,"csa"
1,"LAXVIC760",6,11,0.545454545454545,"csa"
1,"LAXVNY818",56,231,0.242424242424242,"csa"
1,"LAXWES310",2,8,0.25,"csa"
1,"LOUCOR812",1,19,0.0526315789473684,"csa"
1,"LOUETN502",6,28,0.214285714285714,"csa"
1,"LOUFRK502",10,36,0.277777777777778,"csa"
1,"LOULEX606",26,128,0.203125,"csa"
1,"LOULOU502",66,293,0.225255972696246,"csa"
1,"LOUNAL812",13,70,0.185714285714286,"csa"
1,"MIABON941",8,24,0.333333333333333,"csa"
1,"MIADEL561",48,178,0.269662921348315,"csa"
1,"MIADFD954",50,161,0.31055900621118,"csa"
1,"MIAFTL954",84,342,0.245614035087719,"csa"
1,"MIAFTM941",47,206,0.228155339805825,"csa"
1,"MIAHWD954",30,134,0.223880597014925,"csa"
1,"MIAJUP561",3,7,0.428571428571429,"csa"
1,"MIAKEY305",5,9,0.555555555555556,"csa"
1,"MIAMAR305",5,14,0.357142857142857,"csa"
1,"MIAMIA305",177,615,0.28780487804878,"csa"
1,"MIANAP941",32,104,0.307692307692308,"csa"
1,"MIANDA305",71,301,0.235880398671096,"csa"
1,"MIAOKE863",1,5,0.2,"csa"
1,"MIAPOR941",11,38,0.289473684210526,"csa"
1,"MIAPSL561",34,99,0.343434343434343,"csa"
1,"MIASUG305",9,29,0.310344827586207,"csa"
1,"MIAVER561",10,30,0.333333333333333,"csa"
1,"MIAWPB561",54,208,0.259615384615385,"csa"
1,"MILJAN608",3,7,0.428571428571429,"csa"
1,"MILKEN414",6,31,0.193548387096774,"csa"
1,"MILLAK262",1,6,0.166666666666667,"csa"
1,"MILMAD608",20,88,0.227272727272727,"csa"
1,"MILMIL414",103,458,0.224890829694323,"csa"
1,"MILRAC414",12,32,0.375,"csa"
1,"MILWAU262",20,94,0.212765957446809,"csa"
1,"MINBLO952",1,9,0.111111111111111,"csa"
1,"MINCOR763",9,44,0.204545454545455,"csa"
1,"MINMIN612",140,628,0.222929936305732,"csa"
1,"MINSTP612",75,332,0.225903614457831,"csa"
1,"NCRALB704",1,5,0.2,"csa"
1,"NCRASH336",2,11,0.181818181818182,"csa"
1,"NCRCHA704",61,241,0.253112033195021,"csa"
1,"NCRCHE757",8,27,0.296296296296296,"csa"
1,"NCRCON704",1,11,0.0909090909090909,"csa"
1,"NCRCRY919",25,107,0.233644859813084,"csa"
1,"NCRDUR919",24,113,0.212389380530973,"csa"
1,"NCRFAY910",53,185,0.286486486486487,"csa"
1,"NCRGRB757",34,155,0.219354838709677,"csa"
1,"NCRGRE336",34,147,0.231292517006803,"csa"
1,"NCRGST704",2,10,0.2,"csa"
1,"NCRHAR704",1,6,0.166666666666667,"csa"
1,"NCRHGP336",1,4,0.25,"csa"
1,"NCRIND704",3,4,0.75,"csa"
1,"NCRKAN704",2,12,0.166666666666667,"csa"
1,"NCRMID704",5,22,0.227272727272727,"csa"
1,"NCRNWN757",34,170,0.2,"csa"
1,"NCRPIT919",1,3,0.333333333333333,"csa"
1,"NCRPOR757",23,84,0.273809523809524,"csa"
1,"NCRPTR804",4,40,0.1,"csa"
1,"NCRRAL919",46,185,0.248648648648649,"csa"
1,"NCRRIC804",66,294,0.224489795918367,"csa"
1,"NCRSIC919",1,1,1,"csa"
1,"NCRSPN910",4,21,0.19047619047619,"csa"
1,"NCRTHO336",1,1,1,"csa"
1,"NCRVIR757",49,188,0.26063829787234,"csa"
1,"NCRWAK919",4,19,0.210526315789474,"csa"
1,"NCRWIN336",17,88,0.193181818181818,"csa"
1,"NCRWLM757",11,50,0.22,"csa"
1,"NCRYOR803",1,3,0.333333333333333,"csa"
1,"NEVCHU619",27,131,0.206106870229008,"csa"
1,"NEVCOR619",19,63,0.301587301587302,"csa"
1,"NEVELC619",24,96,0.25,"csa"
1,"NEVENC760",33,111,0.297297297297297,"csa"
1,"NEVESC760",6,37,0.162162162162162,"csa"
1,"NEVLAU702",2,6,0.333333333333333,"csa"
1,"NEVLMS619",41,150,0.273333333333333,"csa"
1,"NEVLVS702",163,639,0.25508607198748,"csa"
1,"NEVNAT619",3,13,0.230769230769231,"csa"
1,"NEVOCN760",27,94,0.287234042553192,"csa"
1,"NEVPOW619",32,153,0.209150326797386,"csa"
1,"NEVSDG619",101,427,0.236533957845433,"csa"
1,"NMCGDJ970",3,7,0.428571428571429,"csa"
1,"NMCPUE719",3,15,0.2,"csa"
1,"NMXABI915",12,48,0.25,"csa"
1,"NMXALB505",45,159,0.283018867924528,"csa"
1,"NMXAMA806",5,66,0.0757575757575758,"csa"
1,"NMXDEL830",9,28,0.321428571428571,"csa"
1,"NMXEAG830",6,31,0.193548387096774,"csa"
1,"NMXELP915",42,210,0.2,"csa"
1,"NMXFLA520",2,4,0.5,"csa"
1,"NMXLAR956",14,82,0.170731707317073,"csa"
1,"NMXLCR505",7,37,0.189189189189189,"csa"
1,"NMXLSA505",1,3,0.333333333333333,"csa"
1,"NMXLUB806",26,120,0.216666666666667,"csa"
1,"NMXPRE520",1,10,0.1,"csa"
1,"NMXSAN505",9,28,0.321428571428571,"csa"
1,"NMXSAN915",15,49,0.306122448979592,"csa"
1,"NMXTER915",18,84,0.214285714285714,"csa"
1,"NMXYUM520",4,11,0.363636363636364,"csa"
1,"NNYALB518",48,189,0.253968253968254,"csa"
1,"NNYBUF716",87,378,0.23015873015873,"csa"
1,"NNYBUR914",2,8,0.25,"csa"
1,"NNYPOU914",13,29,0.448275862068966,"csa"
1,"NNYROC716",43,226,0.190265486725664,"csa"
1,"NNYSYR315",27,108,0.25,"csa"
1,"NNYUTI315",2,5,0.4,"csa"
1,"NOLKEN504",94,472,0.199152542372881,"csa"
1,"NORDUL218",1,12,0.0833333333333333,"csa"
1,"NORFAR701",2,4,0.5,"csa"
1,"NORFRM218",2,6,0.333333333333333,"csa"
1,"NORMAN507",3,8,0.375,"csa"
1,"NOROWT507",2,7,0.285714285714286,"csa"
1,"NORRDW651",1,3,0.333333333333333,"csa"
1,"NORROC507",7,22,0.318181818181818,"csa"
1,"NORSTC320",6,19,0.315789473684211,"csa"
1,"NSHCOL615",4,13,0.307692307692308,"csa"
1,"NSHNSH615",91,503,0.180914512922465,"csa"
1,"NVUREN775",9,33,0.272727272727273,"csa"
1,"NYCBRO917",493,2187,0.225422953818016,"csa"
1,"NYCCIT914",18,47,0.382978723404255,"csa"
1,"NYCETT732",7,40,0.175,"csa"
1,"NYCFHD732",7,35,0.2,"csa"
1,"NYCJER201",6,25,0.24,"csa"
1,"NYCKPT732",3,14,0.214285714285714,"csa"
1,"NYCMAN917",380,1566,0.242656449553001,"csa"
1,"NYCMTK914",9,37,0.243243243243243,"csa"
1,"NYCNAS516",129,498,0.259036144578313,"csa"
1,"NYCNEW201",153,559,0.273703041144902,"csa"
1,"NYCNEW732",67,251,0.266932270916335,"csa"
1,"NYCNEW908",28,117,0.239316239316239,"csa"
1,"NYCNEW973",101,356,0.283707865168539,"csa"
1,"NYCPAS973",6,49,0.122448979591837,"csa"
1,"NYCPLA908",11,47,0.234042553191489,"csa"
1,"NYCPLS609",2,9,0.222222222222222,"csa"
1,"NYCQUE917",158,656,0.240853658536585,"csa"
1,"NYCSUF516",100,420,0.238095238095238,"csa"
1,"NYCTMR732",12,65,0.184615384615385,"csa"
1,"NYCWHI914",95,327,0.290519877675841,"csa"
1,"NYCWOO732",4,29,0.137931034482759,"csa"
1,"OHHASH606",1,2,0.5,"csa"
1,"OHHATH740",4,20,0.2,"csa"
1,"OHHCHA304",4,16,0.25,"csa"
1,"OHHCHI740",10,60,0.166666666666667,"csa"
1,"OHHFAI304",1,3,0.333333333333333,"csa"
1,"OHHHUN304",3,5,0.6,"csa"
1,"OHHMOR304",1,7,0.142857142857143,"csa"
1,"OHHPAR304",1,23,0.0434782608695652,"csa"
1,"OHHPOR740",4,13,0.307692307692308,"csa"
1,"OHHZAN740",3,16,0.1875,"csa"
